RDKit Canonical Smiles,Molecule ChEMBL ID,Fingerprints_tsne_x,Fingerprints_ tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski RO5 violations,Follows Lipinski’s RO5,QED_weighed,Bioactivity (P-glycoprotein 1)
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ncccc4c3)cc1)CC2,CHEMBL409234,0.49168167,0.8149772,0.35999596,0.9409776,0.76962394,0.44437653,0.509495356651388,0.067339898262018,0.614676650248231,0.090303757676799,0.581260216696987,0.208668317105138,467.57,5.11,,8.36,1,True,0.41,1
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@@H](C(C)(C)O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790681,0.82461524,0.32771498,0.5527891,0.7408719,0.29845577,0.26840723,0.633974217060261,0.226987179809078,0.749505189044403,0.043431974650872,0.679690351995399,0.318501147439728,1101.44,,,,,Undefined,,1
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)CN(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,CHEMBL1790684,0.8137809,0.3468173,0.5832741,0.73977095,0.29464385,0.24908681,0.644867460835367,0.228343016686837,0.744887064440001,0.038485680856086,0.660005672246266,0.305470048559047,1043.36,,,,,Undefined,,1
CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,CHEMBL1200633,0.7588989,0.23754223,0.6586842,0.797197,0.020852745,0.47877038,0.411234601957048,0.194411943416408,0.634416284318269,0.012006688795264,0.302135247913045,0.279292353582171,1736.18,,,,,Undefined,,1
O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(Cl)Cl)CC1,CHEMBL2087786,0.39509603,0.53112197,0.6610876,0.8681253,0.6906265,0.36430132,0.238666192075254,-0.108411712421977,-0.048027479674264,-0.070714425602218,0.239642663714933,0.06251412330081,560.53,5.75,,7.45,2,False,0.3,1
Cc1cccc(N2CCN(CC(O)COc3ccccc3C(=O)c3ccccc3)CC2)c1C,CHEMBL2058782,0.42647237,0.4742346,0.16946372,0.8500798,0.7295585,0.23738289,0.331032981535454,0.102215035728813,0.32228343031374,0.110967716017455,0.312045275703504,0.120292860765596,444.58,4.1,,6.75,0,True,0.53,1
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,CHEMBL444075,0.5075009,0.8310519,0.3829388,0.9427376,0.70131165,0.5149257,0.460798192283725,0.082906914265915,0.5131738058,0.066877909399967,0.433409136348548,0.187060294568116,586.69,6.36,,8.36,2,False,0.21,1
COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,CHEMBL2316435,0.2548378,0.20848061,0.5125233,0.85888016,0.5521408,0.12920558,0.555515510785064,-0.019052018941543,0.208237240239752,0.008004459196842,0.229830314576483,0.172648250719347,639.79,7.18,11.75,11.06,2,False,0.17,1
CC(C)(C)OC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)OC(C)(C)C,CHEMBL1253374,0.52048796,0.27094832,0.5117741,0.7570448,0.51532006,0.41952196,0.457054599535313,0.199277891322142,0.752769408827591,0.040981425034775,0.302551720111941,-0.005076855864497,639.79,5.5,12.26,,3,False,0.17,1
COc1cc(OC)c(C(=O)Nc2ccc(-c3cc(F)cc(F)c3)cn2)cc1OC,CHEMBL3317919,0.03885451,0.49885458,0.59577245,0.9637228,0.80046886,0.7887356,0.508523506425007,-0.126153089048353,0.640396493765545,0.071593208763728,0.640534049116095,0.265397536394177,400.38,4.3,13.49,2.2,0,True,0.67,1
