,Morgan Fingerprints,Daylight Fingerprints
10,0000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000100000000000000000000000000000000010000010000000001001000000000000000000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000001100000010000000001000000000000000010000000000000000100010000100001000000000001000000010000000000000000000010000000000000010000010000000000000000000000000001000000100010000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000001100000000010010000000000000000000010000001000000000001000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000011100000000000001001000000000001000000000000000001000000000000000000000000010000000000100000000000000000100000000000000000000010000000010000000000000000000000000100000000000000100000000000000000000000000000000000000000010000,1111111001010111001010110111111001111011101111111111101011001111111001111111111111111111111111011101111111100011101111111110101110011000101011101110101001011111110101101111110111101111110011011111011000010110111111110111101011101111001101110111111010101101110010111101101111001111111111110101111101110010111111101111010001011101011110010010011010110011111010011011011011111001011011010111011111111011011100111111111111110011010101011101111010011111110101110011011111111011111111101101001011111111111110000111110101111111111011111111111111111011101011111111111111110010010011100101100101101111111111111111111111101111110111011111111111111111111111111001101011001111110010111110011111001110100111111010100100111111011101110111101110110111101110101101111011101010111011011110101111101111011111101111111110111101111101111101111011100111110111100111110001010111110001000110111011011011111110011111011010011111111111111001011111110101111111111111101001111111110110111110111111111111101100111110100101111110111011110110111111111011
11,0001000000000000000000000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000100000000000000000000000000000000000010010000000000000000000000000000000000000000000000001100100100000000000000001000000000001000000000000000000000000000000000000000000000001000000010000000000100010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000001001000000000000000000000010000000000000010000000000000100010000000000000000000000000001000000001000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000011000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000010000,1111110000110111101111111111110111111110101000101111100111111011110111011101111101011011011011111011111101111110101111111011110110110011000111111001111111111111111001111010111111111111111111111011011111111011111101111101011111111101111111101111101110011111111111011101100110111111011111110101011110010111011011010111001110011000111001111101011011100101011110011111001011111101111101111011111111101111111110010111111011011111111110111101111101001110011110011111000011101010111100011111101111111101111111101110111111011011011111110111111110111110011110111110111111111011111111100111011011111111111110111111110110111010111101111110011111111111011101111111110111011100111111111111011101100111111111011111001111111111111101111111111110110111111111101111111101101011111101110111111111110111111001111111111111101111011111100111100110111110110111111111111010011111111111011110010011010101011111111101111111110111111110110111110110111111111111111111011111111111101111110111111111100011111011111010111111110111011100110010111111111101
12,0000000010000001000010000000010000000000010000000000000000000000100000000000000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000100000000000000010000010000000000000000000010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000110000000000000000000000001000001000000000000000000000010000001000001000100000000000000000000001000000000000000000000001000001000000000001000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000010100000000000000000000000000000000000000100000001000000000000000000000000001000000000000100000000000000000000000000010000000000000000000000000000000010000001010000001000000000000000100000000000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000110000001000000000000000000100000100000000000000000100000001000000000000000000000000010000,1111101110110000100100110111100001011101101101100101011000100111100110101110110101010000011111000011110111100111110101101011111001111001000110110100111111011100010100111011011010101110101010001111110100101100111110110011100000010101011101010010011110011110111100110100110011001101010111110001011000111111101111000110011110011011011111110111000001010001000101010110101110101000010001111101101001101111100111000011110101011110001111101111011111101110100100110010101011111111111011110000110100011011010011100110001101110000111101101110111100110100100111111101011001110001100011111100100101011011001000011111011110001011100001001111111001101011100011101111000010010100111101100011111100110101110011100001010111001110111001110111101110100001000100001010100101101000100101111011001011000111111101111100110110110011111110100111011010110111011011101011001111010111000100111111011110010110101111101110111100010111011101100110011010111011011011011011000011000001110111100111101100001011111100111010010101101000100011001101011100100011
13,0001000000000000000001000000000001000000000000000000000000000000100000000000000010000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000010010000000000000000000100000000000000000000000000001100100100000000000000001000000000001001000000000000000000000000000000000000000000001000000010000000000100010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000000000010000000000000100010000000000000000000000000001000000000000010000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000000001000000000000001000000000000000000000000010000010000000000000000000000000001000000000000000010000000010000000000000000000010000000000000000000000000000000000000000000000000000000010000010000,1111110000110111101111111111110111011111101000101111100111111011110111111101111111011011001001111011111101111110101111111011110110110110100111111101011111111111111111111011111111111111111111111011011111111011111101111101011111111101111111101111101110011111111111011101101110111111010111110101011110110011011011011111001110011100111101110111011110100101011110011111001011110101111101111011111111101111111110010111111111011111111110111101111101101110011010011011110011100110111100011111101111111111111111101110111111011111111111110111111110011110011110111111111111111011111111101111111011111111101110111111110110111110111101111110011111111111011101111111110111111100111111111111011001100111111111111111001111111111011111111111111110111111111111101111111101101011111100110111011111110111111101111101111111101101010111100111100110111110110111111111111010011111111101111110010111111101011111111101111111110111111110110111111110111111111111111111111111111111101111111111111111101011111011111010111111110111011100110011111111111101
14,0000000000000000000100000000000001000000000000000000000000001000100000000000000000000000001010000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000100000100000100001000000000000000010010010000000000000000000001000000010000000000000000000000000000000000000000010000000000000000000100000000000000000000000000000000000001000000010000000000000000110000000000001000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000010010000000000000000000100000001000000000000000000000000000000000000000000000000000000100000000001000000000000011000000000000000000000000000000000111000101000001000010000000000000010000000000000000010000000000000000000101000000000000000000000000000000101000001000000000000100000000100000000010000000000000000000000000000000000000,1111111100110110101011110111001011101110101011101111110100101111111111110111111011111111011111111111111111111100001001101111110111111110010110100000001011110110111101110011111110011011111101111111110001111010111111110110100101101101111111111111111111011110011011111101111100111111011101111111111111101110111011111111111011011111111110011101011111110101011101110111110110110011101101010011111000111111001011111011111011011001100111101011011111111110111101111001111111101111111111101001001111111110111110001100010111111100111011001110111100001011111011101101001111110110110011111000111100011111111011011101101011110111101101111111010011011111110010111101110111110111010010111011110101101100011111101101101111101001000111111110011011111111111000101001001111010110111100000111001110110110111101111111110111111110101101111000111111100111111111111111110111111111111001111111111111111101111111101110101111111010011111001111011101001111111101010111110100111011101001111000100101110101111100101111011111111100010100110101110111111111
15,0000000000000000000100000000000001000000000000000000001000000000100000000000000000000000000010000000000000000000101000000000000010000000000000000000000000000000000000000000000000000000000000010000000000000000000010000010000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000010000000000100000000000000000000000000010010010001001000100000001011000000010000000000000000000000000000000010000000011000000000100000000100000001000000000000000000000000000000000000010000000000000000100000000000001000000000000000000001000000000000000000000000000000000000000000000010000000000000100000000000000000000100000000000000000000010000000000000000000000000000000000000000000010010000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001010000000000000000000000000000000011010001000000000010001000000000010000000000000000010000000000100000000000000000000010000000010000000000100000000000000000000000000000100001000000000000000000000000000000000000000000,1011111011110111101110110111010111101001111100101111111110100101101110111011110111111110111011111011111111111010101111010111111111100111110101111001011111111110111111110111010111011110001110101111110111111111111111110111110100111111111111001111111111111111111010010101111000111111011110111111001111111111111001111111011111011101011110111101111111111111101111111110111101011111111111010011110110100111010110111111111011011111111111111011111011111110111111011000111110101111111111101011111100110111101111101100110101111101010011101100111010001111111011111101111110110100001101111111111101000011010011111110111111000111001101010111010111111111010111111111111111100111111111111111111101101110101111001111111111101101010111111101111010011111111011111011111111011111101101110111111100111111111101101111111101111111101110111110111011110111111110111111011111010011111111111111111111111101011111111110111110111110010111010111111101110111001110111111111111010111111101111100110111011010111011011111101111100110010110111111110111111111
16,0100100000000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000001000010000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000100000000000000000000000000000000000000000000000000001000001000000100000100000000100000000000000000000000000000000000100010000010000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000001000000000000000000000010000000010000000000000000000000000000000000000010010000000000000000000000000000000000000100000000,1011000010001010010010000101000100101010101000000001100101100001000000111001001101000010001100101001000100001000101000100011001010100100100101100100111101011100011000101011111010001000111101010011010010100011111101100001000010010001000101000000011101000100111000011000110000101101010111010001001000000011000001010111101011110010011011111101001000110000000100001000000111000100101001000101001000100101110100001000110001000100001101101111001111001110010000010001010110100001001101000000100000000111010001000011110011010000010010100110011110001001000110001101001000011001001000000100000101010001000000000011100011001000000000100000110110000001100110001010101010001110000011101011011110010100110111011000010010111110100000110010100101010001000000001101101000101010101000011010100000100111001001101111000011100000110110000101010111100011001001001011010011100011011001001100000111010101010111100001001010101101100001100011110101011001011000010011101000101110101110110110000000000001010110010010000001000100000100100100110110010101
17,0000000000000001000010000000010000000000010000000000000000000000100000000000000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000000000000000000010000010000000000000000001010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000110000000000000000000000011000001000000000000000000000010000000000001000100000000000000000000001000000100000000000000001000001000000000001000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100010100000000000000000000000000000000000000100000001000000000000000010000000001000000000000100000000000000000000000000010000000000000000000000000000000010000001010000001000000000000000100000010000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000110000001000000000000000000100000100000000000000000100000001000000000000000000000000010000,1111101110110000100110110111100001011101101111100101011000100111100110101110110101011000011111000011110111100111110101101011111001111001000110111100111111011100010100111011011010101110101010001111110100101101111110110011100000010101011101010010011110011110111110110100110011001101011111110001011000111111101111110111011110011011111111110111000001011001000101010110101111101100010001111101101001101111100111100011110101011110001111101111111111101110100100110010101011111111111011110000110100011011010011100110001101110000111101101110111100110101100111111101011001110101100011111100100101011011001000011111011110001011100001001111111001101011100111101111000010010100111101110011111110110101110011110001011111001110111001110111101110100001000100001010100101101000100101111011001011001111111101111100110110110011111110100111011010110111011011101011001111010111000100111111011110010110111111101110111100010111011111100110011010111011011011011011000011000001110111100111101100001011111100111010010101101000100011001101011100100011
18,0000000000000001000000000000000000000000010000000000000000000000100000000010000010000010000000000000000000000000001000000100000010000000000000001000000000000000000000000000000000000000000000000000010000000000000000001010000000000000000011000000000000000000000000000100000000000000000000000000000000000100000000000000000100000000000000000000000000000000000010000110000000000000000000000011000001000000000000000000000011000000000001000100000000000000000000001010000100000000000000001000001000000000001000000000000000000000000010100000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000100010000000000000000000000000000000000000000100000001000000000000000010000000001000000000000100000000000000000000000000010000000000000000000000000000000000000001010000001000000000000000000000010000000001000000000000000000010000010000000000000000010000100000100000000000000000000010000000110000001000000000000000000100000100000000000000000100000001000000000000000000000000010000,1111101110110000100110110111100001011101101111100101001000100111100110100110110101011000001111000011110111000111110101001011111001111001000110111100001100010100010100101011001010101110001010001111110100101101111110110011100000010101011101010110001110011110111110110100110011001101011011110001011000110011101111110011001100011011111110110111000001011001000101010110101111101100010000111101101011101111000111100011110101011010001111001111111111101010100100110010101011110111111011110000110100011011010011100110001101110100111101101100111100110101100111111101011011110101100011111100100101011011001000011111011110001001100011001111111001101011100111101111000010010100111101110001111010111101110011110001011111001110011001110111101110100001000100001010100101101000100101111011001011001111101101111100110110100011111110100111011010110110011011101010001111010111000100011101011110010110111111101110111100010111011111100110011010010011011011011010000011000001110111100101101100001011111100111010010101101000100011001101011100100011
19,0000000000000000000000000000000101000000000000000000000000000000000000000110000010000001001000000001000000000000000000000000000010000000010000000000000000000000000001000000000000000100000000000000000010000000000000001000000000000000000000000010010000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000100000001010000000000000000000000000000000000000000000000000000000000000000000000000000000010100010000000010010000000000000100000000000000000100001000000000000000000000000001000100010000101000001000000000000000000010000000000000000000000001000000000000001000000001000000000000000000100000000010001000000000000000000000000010000000000001000010000000000100000000000000000000110000000010000000000000000000000000100000000000000000000000000000000000000000000000000000001010000,1111100000110101110110010111100000011001101111110011100000010011111110100100101101010000011001011011110111000111101010011011111000111011111111100100011100100110011000101111110100111001001011111111110100111100011011001011100101010101011101110110001001011101100100110100100010001001111011101100001000101011101011110010010100011101001011101110101110011101000011100110111001011001000111101101000111101110000001000111110111011111011110101101100011101101111000111000011100010110100010011001100100111111101111101101000011111100110111110110101111010000011110011111110011100000110001111101110101011001101101101101010111000101101110011111111001111011111110010101110011011110111110100001010001011111000101101011110110011111001111011001000111110010100100001011101001110110110111111011001110100111111101111110101101110001111110110101110111100111001011001111000111011111111001101111000101110001011111111011111111111110111011110100111101011100111001011001000011011011101000100100111000111010010100100110100101100110000110111000110000110011
