tSNE_0,tSNE_1,Label
0.30616373,0.37520078,0
0.4205264,0.2809158,0
0.31883612,0.26592168,0
0.34349892,0.277721,0
0.04686457,0.12830347,0
0.57486665,0.94739485,0
0.5519458,0.95993316,0
0.33544558,0.28141928,0
0.55208904,0.20211317,0
0.41735804,0.27537268,0
0.31248,0.26738366,0
0.030920744,0.070181906,0
0.5677948,0.9463241,0
0.5416532,0.93783104,0
0.3372797,0.27250287,0
0.83677423,0.5486092,0
0.89335907,0.50663555,0
0.84861857,0.5632073,0
0.8689424,0.52980834,0
0.21939594,0.22118087,0
0.53207934,0.9600396,0
0.4122241,0.41105732,0
0.4125978,0.408282,0
0.03845173,0.116888046,0
0.22555846,0.20468344,0
0.22498277,0.19812806,0
0.3543591,0.39319953,0
0.35436416,0.39321035,0
0.8654342,0.5356765,0
0.40710676,0.4443908,0
0.40100372,0.24998498,0
0.033947587,0.06389594,0
0.32404226,0.2708312,0
0.040069222,0.056533873,0
0.8026861,0.0556103,0
0.5620231,0.48181087,0
0.6270724,0.7383516,0
0.25838807,0.19745453,0
0.5579037,0.4840078,0
0.41483295,0.25649717,0
0.005925834,0.11296803,0
0.049440444,0.09869638,0
0.31055936,0.27670366,0
0.40673697,0.4896407,0
0.84219193,0.53719586,0
0.86495864,0.5228177,0
0.8419184,0.51417065,0
0.52437454,0.94673836,0
0.8026343,0.06461766,0
0.8357084,0.051542222,0
0.72679794,0.81370485,0
0.53149796,0.9616517,0
0.5498755,0.97906613,0
0.5223834,0.95544446,0
0.9701364,0.30413225,0
0.29966334,0.4407789,0
0.040569007,0.10509026,0
0.89249945,0.5438367,0
0.88829553,0.5667656,0
0.85115576,0.56857246,0
0.8610103,0.509408,0
0.5223275,0.5231779,0
0.7223322,0.03484723,0
0.55299956,0.9345037,0
0.34194103,0.28925472,0
0.40683526,0.44486782,0
0.7030294,0.26166543,0
0.5450529,0.9683572,0
0.5454896,0.9677136,0
0.5236905,0.95549667,0
0.55098474,0.9801853,0
0.5555441,0.97536564,0
0.56884366,0.9316101,0
0.5490752,0.9420793,0
0.5455381,0.9441943,0
0.5398914,0.49118632,0
0.21456066,0.21704872,0
0.8448621,0.5510802,0
0.8638177,0.5452611,0
0.8711362,0.50160336,0
0.6505069,0.47361377,0
0.5695498,0.952564,0
0.22566089,0.17584565,0
0.807068,0.052616,0
0.87699044,0.49857605,0
0.8339956,0.057605058,0
0.53413117,0.9475961,0
0.8846776,0.5224238,0
0.6349841,0.4469737,0
0.2459828,0.22775668,0
0.9667517,0.29618168,0
0.30373213,0.47800383,0
0.2895687,0.48453405,0
0.29614434,0.46065542,0
0.6565574,0.45684493,0
0.32336745,0.46874565,0
0.39411497,0.546059,0
0.74342376,0.11894816,0
0.7487039,0.12332201,0
0.74445176,0.12509239,0
0.3019836,0.47434968,0
0.30434692,0.4564306,0
0.64579046,0.45992112,0
0.5329902,0.5753546,0
0.5489098,0.5552695,0
0.32317856,0.49039418,0
0.32083955,0.4677088,0
0.29286507,0.49489918,0
0.53557414,0.55651987,0
0.2973676,0.45168442,0
0.6553806,0.14933294,0
0.55632263,0.87273943,0
0.5426187,0.88781583,0
0.59759367,0.86710274,0
0.60263604,0.90351546,0
0.6006768,0.8866545,0
0.567454,0.896847,0
0.038139403,0.09358731,0
0.5623682,0.88276255,0
0.035034895,0.01549235,0
0.06800115,0.06329656,0
0.054551363,0.114528656,0
0.067044675,0.09726468,0
0.31813982,0.2792739,0
0.33081543,0.3062731,0
0.2485145,0.20694883,0
0.009990394,0.12847072,0
0.014576852,0.11829868,0
0.031288683,0.09004122,0
0.047026455,0.0936988,0
0.98664874,0.2872291,0
0.7800128,0.1481469,0
0.78502107,0.16440392,0
0.9740585,0.30252066,0
0.9832555,0.32444698,0
0.077284634,0.05302477,0
0.40922707,0.5549444,0
0.41976994,0.4270063,0
0.23508331,0.20894906,0
0.6248395,0.57946706,0
0.031232655,0.0102056265,0
0.03807354,0.022092015,0
0.05735767,0.113664776,0
0.060166836,0.060810745,0
0.5781693,0.08816436,0
0.5374915,0.2051597,0
0.64062166,0.33851802,0
0.5748105,0.970099,0
0.5555361,0.89530706,0
0.062353134,0.086123854,0
0.05069053,0.12693176,0
0.37833792,0.44943258,0
1,0.30274686,0
0.045838058,0.10609436,0
0.37580496,0.82080394,0
0.36664224,0.77927375,0
0.36388516,0.814057,0
0.38294232,0.8007429,0
0.362882,0.78628254,0
0.3764575,0.7998742,0
0.62054104,0.45011577,0
0.6553806,0.14933294,0
0.37953907,0.80499446,0
0.38301104,0.8388363,0
0.3562153,0.8320468,0
0.3559625,0.8223275,0
0.5935264,0.93788207,0
0.55765444,0.9018798,0
0.3163256,0.2939389,0
0.3395295,0.2940294,0
0.33404335,0.28594965,0
0.8832935,0.50989497,0
0.5740495,0.8990383,0
0.5720378,0.8834057,0
0.6080589,0.8978407,0
