tSNE_0,tSNE_1,Label
0.46878946,0.8745838,0
0.44432673,0.90485847,0
0.20069215,0.9926752,0
0.22451724,0.99871105,0
0.2846357,0.60361034,0
0.55557424,0.76107657,0
0.559559,0.7688558,0
0.21291561,0.9906556,0
0.46407947,0.87714934,0
0.44424388,0.9041913,0
0.203551,0.9982688,0
0.28549555,0.601972,0
0.55524457,0.7607494,0
0.539876,0.77033305,0
0.20789392,0.9899188,0
0.89171803,0.78063464,0
0.9372716,0.7714385,0
0.8819397,0.7738149,0
0.9002838,0.76230913,0
0.35737613,0.9926248,0
0.55447376,0.7744763,0
0.5477388,0.88552886,0
0.54606026,0.8852725,0
0.2973003,0.59591854,0
0.36777264,0.98534125,0
0.36355504,0.984259,0
0.24846283,0.9905108,0
0.2484134,0.9905183,0
0.9089212,0.76768976,0
0.20661,0.9828989,0
0.48808223,0.89996254,0
0.2850666,0.59872377,0
0.20437983,0.99195755,0
0.31116003,0.59393406,0
0.19735983,0.8663852,0
0.4973912,0.87387115,0
0.48286998,0.87634045,0
0.3888341,0.98478615,0
0.46520025,0.8823489,0
0.46688178,0.89877415,0
0.26638383,0.592725,0
0.2760996,0.6020149,0
0.20827657,0.9987002,0
0.47174364,0.8711369,0
0.90154606,0.7771615,0
0.8984103,0.7671186,0
0.861984,0.7568732,0
0.54605496,0.77411723,0
0.19338411,0.8689262,0
0.85005283,0.83469945,0
0.4605439,0.9297574,0
0.55447376,0.7744763,0
0.56639373,0.77137285,0
0.5519136,0.7759035,0
0.53607345,0.86717457,0
0.47601962,0.8782003,0
0.28787094,0.6004621,0
0.9134604,0.7628607,0
0.47986948,0.869851,0
0.886829,0.7762915,0
0.8949189,0.7670746,0
0.5601558,0.9013851,0
0.48997656,0.8758415,0
0.5527343,0.7678507,0
0.22383542,0.9968913,0
0.20661303,0.9829483,0
0.5029416,0.8769212,0
0.56121176,0.7711862,0
0.56121176,0.7711862,0
0.5496593,0.7755745,0
0.56659853,0.77047163,0
0.5640475,0.768375,0
0.5559958,0.7621155,0
0.544475,0.7699189,0
0.54462695,0.76984024,0
0.5681058,0.906338,0
0.36046922,0.9941923,0
0.89136505,0.7802784,0
0.91819084,0.76940143,0
0.92499197,0.77467096,0
0.774513,0.89846486,0
0.5584778,0.7640521,0
0.3499439,0.9860044,0
0.1846219,0.8695962,0
0.9334843,0.77224743,0
0.85242164,0.83079284,0
0.5491694,0.7731087,0
0.9024308,0.766509,0
0.75647175,0.90197486,0
0.46818236,0.87977076,0
0.53682375,0.8668997,0
0.42085773,0.89247316,0
0.43786636,0.88786495,0
0.41339743,0.897425,0
0.77903956,0.9023378,0
0.40045643,0.88707453,0
0.48411775,0.8788168,0
0.19358748,0.853199,0
0.19619575,0.8515475,0
0.19826934,0.85383093,0
0.42085686,0.89247274,0
0.40796548,0.89628404,0
0.7728385,0.90189314,0
0.51430583,0.8928801,0
0.4768994,0.8835189,0
0.41571635,0.8862725,0
0.40170762,0.88674015,0
0.43324253,0.8899989,0
0.5257659,0.8919289,0
0.41274717,0.8975118,0
0.51909053,0.8102505,0
0.54428774,0.746936,0
0.53887457,0.7570316,0
0.5578054,0.7444079,0
0.54728204,0.74060583,0
0.5527646,0.7419243,0
0.53639793,0.74906206,0
0.29070783,0.6016631,0
0.5258468,0.74918836,0
0.3296305,0.58676934,0
0.23142578,0.5966499,0
0.28047034,0.5994012,0
0.31522548,0.5959648,0
0.20279501,0.99416643,0
0.22229749,0.99428433,0
0.3808326,0.9894463,0
0.26372224,0.597497,0
0.2929927,0.5943394,0
0.28807154,0.5879671,0
0.2929292,0.6000832,0
0.48911718,0.8585526,0
0.07549775,0.84904945,0
