tSNE_0,tSNE_1,Label
0.8691392,0.8728327,0
0.6663618,0.12986857,0
0.5461053,0.344607,0
0.64008015,0.20178059,0
0.25813678,0.13675165,0
0.6889328,0.5008682,0
0.6908479,0.5158036,0
0.5619022,0.36148793,0
0.55539566,0.59689367,0
0.66560006,0.13130134,0
0.563698,0.33682874,0
0.26691124,0.12792677,0
0.69870067,0.5105973,0
0.68946034,0.5145386,0
0.57243645,0.36393034,0
0.8113513,0.7372869,0
1,0.04636854,0
0.72097206,0.8312608,0
0.7640166,0.75125825,0
0.31173268,0.2222524,0
0.663407,0.5030244,0
0.5357507,0.4568914,0
0.53415066,0.45905128,0
0.26330757,0.11597183,0
0.30443075,0.2713049,0
0.30107328,0.26410383,0
0.5994868,0.22794902,0
0.5951072,0.24060091,0
0.7733443,0.7536886,0
0.6656108,0.6018194,0
0.32633474,0.19761133,0
0.27480197,0.11085695,0
0.5445691,0.35104722,0
0.2727913,0.12101215,0
0.82907665,0.7078962,0
0.8353343,0.4024415,0
0.802995,0.8322894,0
0.54202425,0.51179373,0
0.8335808,0.40262812,0
0.5552977,0.12189579,0
0.25802574,0.11464319,0
0.26643735,0.1810301,0
0.56059307,0.33906254,0
0.53462744,0.4375276,0
0.7997762,0.74387974,0
0.7457021,0.6994027,0
0.7878824,0.87023586,0
0.02749747,0.51456964,0
0.8529169,0.7375758,0
0.8440579,0.7594816,0
0.96991014,0.0178079,0
0.6637148,0.50282764,0
0.01875037,0.5172779,0
0.01915276,0.48953775,0
0.02516359,0.52963346,0
0.511906,0.5698117,0
0.26732048,0.12822837,0
0.97971183,0.051639587,0
0.788916,0.88304836,0
0.8248371,0.8201802,0
0.76512986,0.7638385,0
0.5995416,0.523254,0
0.5929586,0.49502745,0
0.69536483,0.49631706,0
0.57965523,0.35388097,0
0.547906,0.45722678,0
0.9995259,0.00075513124,0
0.66342825,0.501624,0
0.66310704,0.50195444,0
0.021328032,0.5335156,0
0.018797278,0.5082194,0
0.027633786,0.5036906,0
0.69814456,0.5082182,0
0.6943314,0.49305183,0
0.69570166,0.49567893,0
0.57656735,0.500337,0
0.31029058,0.22847056,0
0.83391774,0.8474487,0
0.7594964,0.7537273,0
0.7870924,0.7370369,0
0.8047538,0.528507,0
0.70346063,0.51213825,0
0.28451082,0.27256024,0
0.6106051,0.34301448,0
0.80223835,0.96297765,0
0.84488,0.7735182,0
0.6917807,0.5169321,0
